ibdb_id	ibdb_name	ibdb_abbv	Uberon_label	part_of	BrainName_abbv	FBbt_id	FBbt_name
52	Accessory calyx - left	ACA-l	accessory calyx	mushroom body	ACA	FBbt_00045007	mushroom body accessory calyx
38	Accessory calyx - right	ACA-r	accessory calyx	mushroom body	ACA	FBbt_00045007	mushroom body accessory calyx
111	Accessory Lamina - left	ALA-l	accessory lamina	lamina	ALA		
112	Accessory Lamina - right	ALA-r	accessory lamina	lamina	ALA		
71	Accessory medulla - left	AME-l	accessory medulla	optic lobe	AME	FBbt_00045003	accessory medulla
12	Accessory medulla - right	AME-r	accessory medulla	optic lobe	AME	FBbt_00045003	accessory medulla
22	Antennal lobe - left	AL-l	antennal lobe	adult brain	AL	FBbt_00007401	adult antennal lobe
6	Antennal lobe - right	AL-r	antennal lobe	adult brain	AL	FBbt_00007401	adult antennal lobe
63	Antennal mechanosensory and motor center - left	AMMC-l	antennal mechanosensory and motor center	periesophageal neuropils	AMMC	FBbt_00100005	antennal mechanosensory and motor center
37	Antennal mechanosensory and motor center - right	AMMC-r	antennal mechanosensory and motor center	periesophageal neuropils	AMMC	FBbt_00100005	antennal mechanosensory and motor center
102	anterior lip	ALIP	anterior lip	central complex	ALIP		
102	anterior lobula - left	aLOB-l	anterior lobula	lobula complex	aLOB		
95	anterior Lobula - right	aLOB-r	anterior lobula	lobula complex	aLOB		
34	Anterior optic tubercle - left	AOTU-l	anterior optic tubercle	adult brain	AOTU	FBbt_00007059	anterior optic tubercle
33	Anterior optic tubercle - right	AOTU-r	anterior optic tubercle	adult brain	AOTU	FBbt_00007059	anterior optic tubercle
43	Antler - left	ATL-l	antler	inferior neuropils	ATL	FBbt_00045039	antler
31	Antler - right	ATL-r	antler	inferior neuropils	ATL	FBbt_00045039	antler
13	AOTU lower unit - left	AOTU-LU-l	anterior optic tubercle lower unit	anterior optic tubercle lower unit complex	AOTU-LU		
16	AOTU lower unit - right	AOTU-LU-r	anterior optic tubercle  lower unit	anterior optic tubercle lower unit complex	AOTU-LU		
95	AOTU lower unit complex - left	AOTU-LUC-l	anterior optic tubercle lower unit complex	anterior optic tubercle	AOTU-LUC		
94	AOTU lower unit complex - right	AOTU-LUC-r	anterior optic tubercle lower unit complex	anterior optic tubercle	AOTU-LUC		
15	AOTU nodular unit - right	AOTU-NU-r	anterior optic tubercle nodular unit	anterior optic tubercle lower unit complex	AOTU-NU		
12	AOTU nodular unit -left	AOTU-NU-l	anterior optic tubercle nodular unit	anterior optic tubercle lower unit complex	AOTU-NU		
79	AOTU strap - left	AOTU-SP-l	anterior optic tubercle strap	anterior optic tubercle lower unit complex	AOTU-SP		
97	AOTU upper unit - left	AOTU-UU-l	anterior optic tubercle upper unit	anterior optic tubercle	AOTU-UU		
96	AOTU upper unit - right	AOTU-UU-r	anterior optic tubercle upper unit	anterior optic tubercle	AOTU-UU		
72	AOTU-Strap - right	AOTU-SP-r	anterior optic tubercle strap	anterior optic tubercle lower unit complex	AOTU-SP		
